brand,model_name,month,sale_count
kgmobility,렉스턴 스포츠,Jan.,724
kgmobility,렉스턴 스포츠,Feb.,550
kgmobility,렉스턴 스포츠,Mar.,555
kgmobility,렉스턴 스포츠,Apr.,530
kgmobility,렉스턴 스포츠,May.,534
kgmobility,렉스턴 스포츠,Jun.,627
kgmobility,렉스턴 스포츠,Jul.,704
kgmobility,렉스턴 스포츠,Aug.,533
kgmobility,렉스턴 스포츠,Sep.,758
kgmobility,렉스턴 스포츠,Oct.,691
kgmobility,렉스턴 스포츠,Nov.,616
kgmobility,렉스턴 스포츠,Dec.,540
kgmobility,티볼리,Jan.,566
kgmobility,티볼리,Feb.,498
kgmobility,티볼리,Mar.,539
kgmobility,티볼리,Apr.,490
kgmobility,티볼리,May.,424
kgmobility,티볼리,Jun.,598
kgmobility,티볼리,Jul.,562
kgmobility,티볼리,Aug.,488
kgmobility,티볼리,Sep.,451
kgmobility,티볼리,Oct.,590
kgmobility,티볼리,Nov.,529
kgmobility,티볼리,Dec.,517
kgmobility,더 뉴 토레스,Jan.,0
kgmobility,더 뉴 토레스,Feb.,0
kgmobility,더 뉴 토레스,Mar.,0
kgmobility,더 뉴 토레스,Apr.,0
kgmobility,더 뉴 토레스,May.,1552
kgmobility,더 뉴 토레스,Jun.,1424
kgmobility,더 뉴 토레스,Jul.,1310
kgmobility,더 뉴 토레스,Aug.,915
kgmobility,더 뉴 토레스,Sep.,632
kgmobility,더 뉴 토레스,Oct.,724
kgmobility,더 뉴 토레스,Nov.,644
kgmobility,더 뉴 토레스,Dec.,453
kgmobility,액티언,Jan.,0
kgmobility,액티언,Feb.,0
kgmobility,액티언,Mar.,0
kgmobility,액티언,Apr.,0
kgmobility,액티언,May.,0
kgmobility,액티언,Jun.,0
kgmobility,액티언,Jul.,0
kgmobility,액티언,Aug.,780
kgmobility,액티언,Sep.,1686
kgmobility,액티언,Oct.,1482
kgmobility,액티언,Nov.,693
kgmobility,액티언,Dec.,386
kgmobility,렉스턴 스포츠 칸,Jan.,638
kgmobility,렉스턴 스포츠 칸,Feb.,444
kgmobility,렉스턴 스포츠 칸,Mar.,460
kgmobility,렉스턴 스포츠 칸,Apr.,413
kgmobility,렉스턴 스포츠 칸,May.,440
kgmobility,렉스턴 스포츠 칸,Jun.,515
kgmobility,렉스턴 스포츠 칸,Jul.,489
kgmobility,렉스턴 스포츠 칸,Aug.,516
kgmobility,렉스턴 스포츠 칸,Sep.,467
kgmobility,렉스턴 스포츠 칸,Oct.,409
kgmobility,렉스턴 스포츠 칸,Nov.,310
kgmobility,렉스턴 스포츠 칸,Dec.,316
kgmobility,렉스턴 뉴 아레나,Jan.,180
kgmobility,렉스턴 뉴 아레나,Feb.,175
kgmobility,렉스턴 뉴 아레나,Mar.,175
kgmobility,렉스턴 뉴 아레나,Apr.,174
kgmobility,렉스턴 뉴 아레나,May.,220
kgmobility,렉스턴 뉴 아레나,Jun.,148
kgmobility,렉스턴 뉴 아레나,Jul.,195
kgmobility,렉스턴 뉴 아레나,Aug.,166
kgmobility,렉스턴 뉴 아레나,Sep.,137
kgmobility,렉스턴 뉴 아레나,Oct.,132
kgmobility,렉스턴 뉴 아레나,Nov.,112
kgmobility,렉스턴 뉴 아레나,Dec.,144
kgmobility,토레스 EVX,Jan.,27
kgmobility,토레스 EVX,Feb.,400
kgmobility,토레스 EVX,Mar.,1443
kgmobility,토레스 EVX,Apr.,767
kgmobility,토레스 EVX,May.,688
kgmobility,토레스 EVX,Jun.,567
kgmobility,토레스 EVX,Jul.,778
kgmobility,토레스 EVX,Aug.,377
kgmobility,토레스 EVX,Sep.,287
kgmobility,토레스 EVX,Oct.,347
kgmobility,토레스 EVX,Nov.,332
kgmobility,토레스 EVX,Dec.,99
kgmobility,코란도,Jan.,104
kgmobility,코란도,Feb.,88
kgmobility,코란도,Mar.,118
kgmobility,코란도,Apr.,99
kgmobility,코란도,May.,89
kgmobility,코란도,Jun.,123
kgmobility,코란도,Jul.,106
kgmobility,코란도,Aug.,82
kgmobility,코란도,Sep.,50
kgmobility,코란도,Oct.,82
kgmobility,코란도,Nov.,69
kgmobility,코란도,Dec.,83
kgmobility,코란도 EV,Jan.,0
kgmobility,코란도 EV,Feb.,0
kgmobility,코란도 EV,Mar.,0
kgmobility,코란도 EV,Apr.,0
kgmobility,코란도 EV,May.,0
kgmobility,코란도 EV,Jun.,15
kgmobility,코란도 EV,Jul.,6
kgmobility,코란도 EV,Aug.,1
kgmobility,코란도 EV,Sep.,3
kgmobility,코란도 EV,Oct.,5
kgmobility,코란도 EV,Nov.,3
kgmobility,코란도 EV,Dec.,2
